MERCADO;MERCADO_GN
MEDELLIN SUR SUP MIN TRA;MEDELLIN SUR SUP MIN TRA
NEW MEDELLIN SUR SUP MIN TRA 72;NEW MEDELLIN SUR SUP MIN TRA 72
MEDELLIN CENTRO SUP MIN TRA;MEDELLIN CENTRO SUP MIN TRA
NEW MEDELLIN CENTRO SUP MIN TRA 72;NEW MEDELLIN CENTRO SUP MIN TRA 72
B/QUILLA ORIENTE SUP MIN TRA;B/QUILLA ORIENTE SUP MIN TRA
NEW B/QUILLA ORIENTE SUP MIN TRA 72;NEW B/QUILLA ORIENTE SUP MIN TRA 72
B/QUILLA OCCIDENTE SUP MIN TRA;B/QUILLA OCCIDENTE SUP MIN TRA
NEW B/QUILLA OCCIDENTE SUP MIN TRA 72;NEW B/QUILLA OCCIDENTE SUP MIN TRA 72
COLOMBIA DISCOUNTERS;COLOMBIA DISCOUNTERS
CENTRO DISCOUNTERS;CENTRO DISCOUNTERS
CUNDIBOY DISCOUNTERS;CUNDIBOY DISCOUNTERS
TOTAL COLOMBIA;TOTAL COLOMBIA
NEW TOTAL COLOMBIA;NEW TOTAL COLOMBIA
HIPERMERCADOS COLOMBIA;HIPERMERCADOS COLOMBIA
OTROS SUPER POS COLOMBIA;OTROS SUPER POS COLOMBIA
NEW OTROS SUPER POS COLOMBIA;NEW OTROS SUPER POS COLOMBIA
OTROS SUPER POS PEQUENOS COLOMBIA;OTROS SUPER POS PEQUENOS COLOMBIA
NEW OTROS SUPER POS PEQUENOS COLOMBIA;NEW OTROS SUPER POS PEQUENOS COLOMBIA
OTROS SUPER POS GRANDES COLOMBIA;OTROS SUPER POS GRANDES COLOMBIA
BOGOTA Y MEDELLIN;BOGOTA Y MEDELLIN
NEW BOGOTA Y MEDELLIN;NEW BOGOTA Y MEDELLIN
BOGOTA;BOGOTA
NEW BOGOTA;NEW BOGOTA
BOGOTA Z NORTE;BOGOTA Z NORTE
BOGOTA Z CENTRO;BOGOTA Z CENTRO
BOGOTA Z SUR;BOGOTA Z SUR
HIPERMERCADOS BOGOTA;HIPERMERCADOS BOGOTA
OTROS SUPER POS BOGOTA;OTROS SUPER POS BOGOTA
NEW OTROS SUPER POS BOGOTA;NEW OTROS SUPER POS BOGOTA
CUNDINAMARCA BOYACA;CUNDINAMARCA BOYACA
NEW CUNDINAMARCA BOYACA;NEW CUNDINAMARCA BOYACA
MEDELLIN;MEDELLIN
NEW MEDELLIN;NEW MEDELLIN
BARRANQUILLA;BARRANQUILLA
NEW BARRANQUILLA;NEW BARRANQUILLA
HIPERMERCADOS BARRANQUILLA;HIPERMERCADOS BARRANQUILLA
OTROS SUPER POS BARRANQUILLA;OTROS SUPER POS BARRANQUILLA
CARTAGENA;CARTAGENA
NEW CARTAGENA;NEW CARTAGENA
HIPERMERCADOS CARTAGENA;HIPERMERCADOS CARTAGENA
OTROS SUPER POS CARTAGENA;OTROS SUPER POS CARTAGENA
NEW OTROS SUPER POS CARTAGENA;NEW OTROS SUPER POS CARTAGENA
MONTERIA;MONTERIA
NEW MONTERIA;NEW MONTERIA
VALLEDUPAR;VALLEDUPAR
NEW VALLEDUPAR;NEW VALLEDUPAR
SANTA MARTA;SANTA MARTA
NEW SANTA MARTA;NEW SANTA MARTA
RESTO COSTA ATLANTICA;RESTO COSTA ATLANTICA
NEW RESTO COSTA ATLANTICA;NEW RESTO COSTA ATLANTICA
CALI;CALI
NEW CALI;NEW CALI
HIPERMERCADOS CALI;HIPERMERCADOS CALI
OTROS SUPER POS CALI;OTROS SUPER POS CALI
NEW OTROS SUPER POS CALI;NEW OTROS SUPER POS CALI
POPAYAN PASTO;POPAYAN PASTO
NEW POPAYAN PASTO;NEW POPAYAN PASTO
BUGA TULUA;BUGA TULUA
NEW BUGA TULUA;NEW BUGA TULUA
RESTO PACIFICO;RESTO PACIFICO
NEW RESTO PACIFICO;NEW RESTO PACIFICO
EJE CAFETERO;EJE CAFETERO
NEW EJE CAFETERO;NEW EJE CAFETERO
PEREIRA;PEREIRA
NEW PEREIRA;NEW PEREIRA
BUCARAMANGA;BUCARAMANGA
NEW BUCARAMANGA;NEW BUCARAMANGA
CUCUTA;CUCUTA
NEW CUCUTA;NEW CUCUTA
IBAGUE NEIVA;IBAGUE NEIVA
NEW IBAGUE NEIVA;NEW IBAGUE NEIVA
VILLLAVICENCIO;VILLLAVICENCIO
NEW VILLLAVICENCIO;NEW VILLLAVICENCIO
RESTO COLOMBIA;RESTO COLOMBIA
NEW RESTO COLOMBIA;NEW RESTO COLOMBIA
BOGOTA DISCOUNTERS;BOGOTA DISCOUNTERS
IBAGUE NEIVA DISCOUNTERS;IBAGUE NEIVA DISCOUNTERS
NEW OTROS SUPER POS BARRANQUILLA;NEW OTROS SUPER POS BARRANQUILLA
MONTERIA DISCOUNTERS;MONTERIA DISCOUNTERS
BARRANQUILLA DISCOUNTERS;BARRANQUILLA DISCOUNTERS
TOTAL COLOMBIA FARMACIAS;TOTAL COLOMBIA FARMACIAS
