MARCA;MARCA_GN
CHOCO LATINO/BARRA/SIN SABORCHOCO LATINO/BARRA/500 O MAS GRS;CHOCO LATINO
CHOCO LEYENDA/POLVO/SIN SABOR;CHOCO LEYENDA
CHOCO LEYENDA/POLVO/SIN SABORCHOCO LEYENDA/POLVO/141 200 GRS;CHOCO LEYENDA
CHOCO LIGHT/BARRA/SIN SABOR;CHOCO LIGHT
CHOCO LIGHT/BARRA/SIN SABORCHOCO LIGHT/BARRA/33 125 GRS;CHOCO LIGHT
CHOCO LYNE/BARRA/CLAVOS Y CANELA;CHOCO LYNE
CHOCO LYNE/BARRA/CLAVOS Y CANELACHOCO LYNE/BARRA/126 249 GRS;CHOCO LYNE
CHOCO LYNE/BARRA/CLAVOS Y CANELACHOCO LYNE/BARRA/33 125 GRS;CHOCO LYNE
CHOCO LYNE/BARRA/SIN SABOR;CHOCO LYNE
CHOCO LYNE/BARRA/SIN SABORCHOCO LYNE/BARRA/0 25 GRS;CHOCO LYNE
CHOCO LYNE/BARRA/SIN SABORCHOCO LYNE/BARRA/126 249 GRS;CHOCO LYNE
CHOCO LYNE/BARRA/SIN SABORCHOCO LYNE/BARRA/33 125 GRS;CHOCO LYNE
CHOCO LYNE/CAPSULA/SIN SABOR;CHOCO LYNE
CHOCO LYNE/CAPSULA/SIN SABORCHOCO LYNE/CAPSULA/0 25 GRS;CHOCO LYNE
CHOCO LYNE/POLVO/CLAVOS Y CANELA;CHOCO LYNE
CHOCO LYNE/POLVO/CLAVOS Y CANELACHOCO LYNE/POLVO/141 200 GRS;CHOCO LYNE
CHOCO LYNE/POLVO/CLAVOS Y CANELACHOCO LYNE/POLVO/33 125 GRS;CHOCO LYNE
CHOCO LYNE/POLVO/SIN SABOR;CHOCO LYNE
CHOCO LYNE/POLVO/SIN SABORCHOCO LYNE/POLVO/0 25 GRS;CHOCO LYNE
CHOCO LYNE/POLVO/SIN SABORCHOCO LYNE/POLVO/141 200 GRS;CHOCO LYNE
CHOCO LYNE/POLVO/SIN SABORCHOCO LYNE/POLVO/33 125 GRS;CHOCO LYNE
CHOCO LYNE/POLVO/SIN SABORCHOCO LYNE/POLVO/401 O MAS GRS;CHOCO LYNE
CHOCO MIO/BARRA/SIN SABOR;CHOCO MIO
CHOCO MIO/BARRA/SIN SABORCHOCO MIO/BARRA/500 O MAS GRS;CHOCO MIO
CHOCO REY/BARRA/SIN SABOR;CHOCO REY
